"site_name","long_name","nhdplus_id","drain_area_km2","lat","lon","coord_datum","alt","alt_datum","site_type","dvqcoefs.c","dvqcoefs.f","dvqcoefs.a","dvqcoefs.b","dvqcoefs.k","dvqcoefs.m","struct.canal_flag","struct.dam_flag","turbidity_data","turbidity_start","turbidity_end","turbidity_total_days","metab_start_date","metab_end_date","metab_days","check_turbidity_range"
"nwis_01400500","Raritan River at Manville NJ",9513852,1269.0951,40.55555556,-74.58277778,"NAD83",20.61,"NGVD29","ST",0.227686302377022,0.542013671037555,41.3207805617214,0.107986328962445,0.10629053154497,0.35,0,0,"YES","2008-04-15","2021-08-11",4866,"2008-04-18","2016-12-30",2642,TRUE
"nwis_01473500","Schuylkill River at Norristown, PA",4782501,4558.3824,40.11121934,-75.3468502,"NAD83",51,"NGVD29","ST",0.206005576334004,0.521858767392838,95.1791829002102,0.0481412326071623,0.0510010422651424,0.43,95,0,"YES","2012-02-23","2021-08-11",3457,"2012-02-25","2016-12-05",1289,TRUE
"nwis_01480617","West Branch Brandywine Creek at Modena, PA",4650580,142.44945,39.9617734,-75.8013341,"NAD83",262.52,"NAVD88","ST",0.376308115201565,0.472613748570207,15.3976754179127,0.147386251429793,0.17258428808018,0.38,95,95,"YES","2007-10-01","2021-08-11",5063,"2007-10-01","2016-11-29",2072,TRUE
"nwis_03374100","WHITE RIVER AT HAZLETON, IN",18471310,29279.83695,38.4897695,-87.55002269,"NAD83",382.77,"NAVD88","ST",0.150977829557166,0.539513365253975,133.756187471072,0.0504866347460253,0.0495191225879211,0.41,0,0,"YES","2010-12-03","2021-08-11",3904,"2010-12-03","2016-12-30",1551,TRUE
"nwis_04195500","Portage River at Woodville OH",15626425,1108.51572,41.449496,-83.3613156,"NAD83",613.99,"NAVD88","ST",0.416275125976494,0.496009710577603,31.5414689869893,0.0939902894223966,0.076161874281623,0.41,0,80,"YES","2011-04-23","2013-10-01",892,"2011-04-23","2013-09-29",582,TRUE
"nwis_06800500","Elkhorn River at Waterloo, Nebr.",24750511,17870.931,41.2933333,-96.2838889,"NAD83",1105.19,"NAVD88","ST",0.297159254034863,0.380367979698617,19.4112276547605,0.169632020301383,0.173363528435248,0.45,95,0,"YES","2008-03-27","2021-08-11",4885,"2008-04-17","2016-10-10",1162,TRUE
"nwis_06805500","Platte River at Louisville, Nebr.",17416032,221107.4463,41.01527778,-96.1577778,"NAD83",1007.1,"NGVD29","ST",0.519478625585146,0.462742971392936,2.51671595436958,0.257257028607064,0.764888470925528,0.28,0,0,"YES","2007-10-02","2021-08-11",5062,"2008-04-10","2016-10-19",1142,TRUE
"nwis_01463500","Delaware River at Trenton NJ",2590277,17560.1322,40.22166667,-74.7780556,"NAD83",0,"NGVD29","ST",1.01373846239556,0.209229008142577,18.9718027902278,0.330770991857423,0.0519954658991434,0.46,0,0,"YES","2014-10-02","2021-08-11",2505,"2007-10-01","2016-12-30",2727,TRUE
"nwis_01480870","East Branch Brandywine Creek below Downingtown, PA",4650548,232.840101,39.9687191,-75.6732715,"NAD83",195,"NGVD29","ST",0.354663230555952,0.464437604963533,18.9000920928401,0.135562395036467,0.149183198429921,0.4,95,95,"YES","2007-10-01","2021-08-11",5063,"2007-10-01","2016-11-29",2284,TRUE
"nwis_01481000","Brandywine Creek at Chadds Ford, PA",4652046,743.32713,39.8698328,-75.5932623,"NAD83",150.45,"NGVD29","ST",0.272405617100393,0.535660077122082,31.9722588514815,0.124339922877918,0.114818170066051,0.34,95,0,"YES","2007-10-01","2021-08-11",5063,"2007-10-19","2016-11-29",2409,TRUE
"nwis_01608500","SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",8420360,3783.97539,39.44703879,-78.6541817,"NAD83",561.41,"NAVD88","ST",0.28166751759615,0.513153429722589,85.9017303098386,0.0568465702774109,0.0413296114011757,0.43,95,95,"YES","2007-10-27","2021-08-11",5037,"2007-10-01","2016-12-30",3021,TRUE
